FigureName,IndexType,ExecutionMode,Optimization,Performance
iggp-eight-puzzle-legal-move, Roaring Index, Parallel, No Optimization, 46.087808
iggp-eight-puzzle-legal-move, Roaring Index, Parallel, Relative Optimization, 25.336089

iggp-sheep-and-wolf-goal, No Index, Serial, No Optimization,1886.26003
iggp-sheep-and-wolf-goal, No Index, Serial, Relative Optimization,1958.126657
iggp-sheep-and-wolf-goal, No Index, Parallel, No Optimization, 706.694424
iggp-sheep-and-wolf-goal, No Index, Parallel, Relative Optimization, 254.005169
iggp-sheep-and-wolf-goal, Roaring Index, Parallel, No Optimization, 289.361198
iggp-sheep-and-wolf-goal, Roaring Index, Parallel, Relative Optimization, 826.844512

iggp-gt-chicken-goal, No Index, Serial, No Optimization,13.217641
iggp-gt-chicken-goal, No Index, Serial, Relative Optimization,12.528212
iggp-gt-chicken-goal, No Index, Parallel, No Optimization, 14.960044
iggp-gt-chicken-goal, No Index, Parallel, Relative Optimization, 14.918773
iggp-gt-chicken-goal, Roaring Index, Parallel, No Optimization, 15.047805
iggp-gt-chicken-goal, Roaring Index, Parallel, Relative Optimization, 13.978192

dunnhumby1, No Index, Serial, No Optimization,2.364881
dunnhumby1, No Index, Serial, Relative Optimization,0.036681
dunnhumby1, No Index, Parallel, No Optimization, 0.674729
dunnhumby1, No Index, Parallel, Relative Optimization, 0.099161
dunnhumby1, Roaring Index, Parallel, No Optimization, 0.594338
dunnhumby1, Roaring Index, Parallel, Relative Optimization, 0.102321

iggp-polgrimage-goal, No Index, Serial, No Optimization,32.951297
iggp-polgrimage-goal, No Index, Serial, Relative Optimization,35.112724
iggp-polgrimage-goal, No Index, Parallel, No Optimization, 10.184462
iggp-polgrimage-goal, No Index, Parallel, Relative Optimization, 37.290293
iggp-polgrimage-goal, Roaring Index, Parallel, No Optimization, 31.096903
iggp-polgrimage-goal, Roaring Index, Parallel, Relative Optimization, 30.900771

acetyl, No Index, Serial, No Optimization,19.436412
acetyl, No Index, Serial, Relative Optimization,170.184474
acetyl, No Index, Parallel, No Optimization, 17.588257
acetyl, No Index, Parallel, Relative Optimization, 41.612208
acetyl, Roaring Index, Parallel, No Optimization, 17.255224
acetyl, Roaring Index, Parallel, Relative Optimization, 41.802461

iggp-dont-touch-next-control, No Index, Serial, No Optimization,5.011515
iggp-dont-touch-next-control, No Index, Serial, Relative Optimization,5.934477
iggp-dont-touch-next-control, No Index, Parallel, No Optimization, 13.9395
iggp-dont-touch-next-control, No Index, Parallel, Relative Optimization, 3.482245
iggp-dont-touch-next-control, Roaring Index, Parallel, No Optimization, 13.8774
iggp-dont-touch-next-control, Roaring Index, Parallel, Relative Optimization, 13.818779

iggp-buttons-goal, No Index, Serial, No Optimization,0.283963
iggp-buttons-goal, No Index, Serial, Relative Optimization,0.396935
iggp-buttons-goal, No Index, Parallel, No Optimization, 0.579808
iggp-buttons-goal, No Index, Parallel, Relative Optimization, 0.516287
iggp-buttons-goal, Roaring Index, Parallel, No Optimization, 0.575657
iggp-buttons-goal, Roaring Index, Parallel, Relative Optimization, 0.521767

robots-functional, No Index, Serial, No Optimization,0.05668075
robots-functional, No Index, Serial, Relative Optimization,0.06666575
robots-functional, No Index, Parallel, No Optimization, 0.051243
robots-functional, No Index, Parallel, Relative Optimization, 0.05799325
robots-functional, Roaring Index, Parallel, No Optimization, 0.0702235
robots-functional, Roaring Index, Parallel, Relative Optimization, 0.070116

robots-linear, No Index, Serial, No Optimization,0.01364
robots-linear, No Index, Serial, Relative Optimization,0.015111
robots-linear, No Index, Parallel, No Optimization, 0.080231
robots-linear, No Index, Parallel, Relative Optimization, 0.108151
robots-linear, Roaring Index, Parallel, No Optimization, 0.109601
robots-linear, Roaring Index, Parallel, Relative Optimization, 0.112151

