FigureName,IndexType,ExecutionMode,Optimization,Performance
iggp-eight-puzzle-legal-move, Roaring Index, Parallel, No Optimization, 47.46019
iggp-eight-puzzle-legal-move, Roaring Index, Parallel, Relative Optimization, 11.808196

iggp-sheep-and-wolf-goal, No Index, Serial, No Optimization,2015.631451
iggp-sheep-and-wolf-goal, No Index, Serial, Relative Optimization,921.910781
iggp-sheep-and-wolf-goal, No Index, Parallel, No Optimization, 850.389653
iggp-sheep-and-wolf-goal, No Index, Parallel, Relative Optimization, 207.42594
iggp-sheep-and-wolf-goal, Roaring Index, Parallel, No Optimization, 839.103894
iggp-sheep-and-wolf-goal, Roaring Index, Parallel, Relative Optimization, 206.670187

iggp-gt-chicken-goal, No Index, Serial, No Optimization,12.757099
iggp-gt-chicken-goal, No Index, Serial, Relative Optimization,5.767761
iggp-gt-chicken-goal, No Index, Parallel, No Optimization, 14.799348
iggp-gt-chicken-goal, No Index, Parallel, Relative Optimization, 2.680648
iggp-gt-chicken-goal, Roaring Index, Parallel, No Optimization, 15.375946
iggp-gt-chicken-goal, Roaring Index, Parallel, Relative Optimization, 2.84777

dunnhumby1, No Index, Serial, No Optimization,2.299642
dunnhumby1, No Index, Serial, Relative Optimization,61.059319
dunnhumby1, No Index, Parallel, No Optimization, 0.575788
dunnhumby1, No Index, Parallel, Relative Optimization, 10.029851
dunnhumby1, Roaring Index, Parallel, No Optimization, 0.566658
dunnhumby1, Roaring Index, Parallel, Relative Optimization, 10.288735

iggp-polgrimage-goal, No Index, Serial, No Optimization,32.226484
iggp-polgrimage-goal, No Index, Serial, Relative Optimization,12.962272
iggp-polgrimage-goal, No Index, Parallel, No Optimization, 21.956929
iggp-polgrimage-goal, No Index, Parallel, Relative Optimization, 12.911722
iggp-polgrimage-goal, Roaring Index, Parallel, No Optimization, 21.137247
iggp-polgrimage-goal, Roaring Index, Parallel, Relative Optimization, 13.371798

acetyl, No Index, Serial, No Optimization,20.491148
acetyl, No Index, Serial, Relative Optimization,57.587009
acetyl, No Index, Parallel, No Optimization, 17.289793
acetyl, No Index, Parallel, Relative Optimization, 26.869717
acetyl, Roaring Index, Parallel, No Optimization, 17.522657
acetyl, Roaring Index, Parallel, Relative Optimization, 28.138285

iggp-dont-touch-next-control, No Index, Serial, No Optimization,5.264504
iggp-dont-touch-next-control, No Index, Serial, Relative Optimization,2.067849
iggp-dont-touch-next-control, No Index, Parallel, No Optimization, 7.653518
iggp-dont-touch-next-control, No Index, Parallel, Relative Optimization, 1.984828
