FigureName,IndexType,ExecutionMode,Optimization,Performance
acetyl, Roaring Index, Parallel, Relative Optimization, 42.362711

iggp-dont-touch-next-control, No Index, Serial, No Optimization,5.054366
iggp-dont-touch-next-control, No Index, Serial, Relative Optimization,5.090847
iggp-dont-touch-next-control, No Index, Parallel, No Optimization, 13.920171
iggp-dont-touch-next-control, No Index, Parallel, Relative Optimization, 13.89571
iggp-dont-touch-next-control, Roaring Index, Parallel, No Optimization, 13.786759
iggp-dont-touch-next-control, Roaring Index, Parallel, Relative Optimization, 13.88926

iggp-buttons-goal, No Index, Serial, No Optimization,0.286674
iggp-buttons-goal, No Index, Serial, Relative Optimization,0.250493
iggp-buttons-goal, No Index, Parallel, No Optimization, 0.648389
iggp-buttons-goal, No Index, Parallel, Relative Optimization, 0.562907
iggp-buttons-goal, Roaring Index, Parallel, No Optimization, 0.634829
iggp-buttons-goal, Roaring Index, Parallel, Relative Optimization, 0.554097

robots-functional, No Index, Serial, No Optimization,0.0715285
robots-functional, No Index, Serial, Relative Optimization,0.04911825
robots-functional, No Index, Parallel, No Optimization, 0.062126
robots-functional, No Index, Parallel, Relative Optimization, 0.06439825
robots-functional, Roaring Index, Parallel, No Optimization, 0.06346075
robots-functional, Roaring Index, Parallel, Relative Optimization, 0.06500575

robots-linear, No Index, Serial, No Optimization,0.019721
robots-linear, No Index, Serial, Relative Optimization,0.01917
robots-linear, No Index, Parallel, No Optimization, 0.081822
robots-linear, No Index, Parallel, Relative Optimization, 0.05987
robots-linear, Roaring Index, Parallel, No Optimization, 0.069951
robots-linear, Roaring Index, Parallel, Relative Optimization, 0.071511

